sep=,
DeviceTag:,DEMO6_4,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.9.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2025-02-09 22:14:52.177 -0600,,,,,,,,,,,,,,,,,
 2025,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
75, 469618768, 0.38890874, 0.40789163, 0.64223105, 0.5195389, -0.14846423, -0.076772116, 0.037425995
76, 469635435, 0.38888934, 0.40769395, 0.6422824, 0.5196448, -0.09867717, -0.07147307, 0.040554047
77, 469652102, 0.38888574, 0.407517, 0.64231676, 0.5197441, -0.08286944, -0.031785443, 0.022937775
78, 469668769, 0.38900706, 0.4074788, 0.64224726, 0.51976895, -0.045613855, 0.0147057, 0.043886185
79, 469685436, 0.38907188, 0.40741733, 0.6421982, 0.5198292, -0.06819827, 0.03825089, 0.0054969788
80, 469702103, 0.38913232, 0.40734354, 0.6421758, 0.51986957, -0.04464515, -0.04116114, 0.013568878
81, 469718770, 0.3892574, 0.40735626, 0.6421071, 0.5198507, -0.06413905, -0.0042457404, 0.010866165
82, 469735437, 0.3893517, 0.40733686, 0.64204806, 0.51986814, -0.089626685, 0.034515876, 0.027571678
83, 469752104, 0.3895323, 0.40741473, 0.64192104, 0.51982886, -0.100259416, -0.043794457, 0.008546829
84, 469768771, 0.38975498, 0.40752378, 0.64176774, 0.5197658, -0.072133295, -0.057190448, -0.007680893
85, 469785438, 0.3899087, 0.40758, 0.6416599, 0.51973957, -0.07787459, -0.014809969, -0.002213478
86, 469802105, 0.39010555, 0.40771472, 0.6415162, 0.5196636, -0.040836487, 0.039923325, -0.0045347214
87, 469818772, 0.39025006, 0.407813, 0.64141303, 0.51960534, -0.056812525, 0.07579671, -0.015062332
88, 469835439, 0.39032117, 0.40785626, 0.641362, 0.51958084, -0.036746647, 0.020160757, 0.008574486
89, 469852106, 0.3904158, 0.40795374, 0.6412993, 0.5195105, -0.04758859, -0.0033491182, 0.0021190643
90, 469868773, 0.39035517, 0.40789375, 0.6413571, 0.5195319, -0.042916723, 0.042299155, 0.008684158
91, 469885440, 0.39030695, 0.4078454, 0.6414057, 0.5195461, -0.026580384, 0.022515913, -0.007639885
92, 469902107, 0.39037064, 0.40794116, 0.64137447, 0.51946163, -0.06816452, 0.013075173, -0.002732277
93, 469918774, 0.39040193, 0.40803733, 0.6413543, 0.5193875, -0.10441564, 0.015861932, 0.021349907
94, 469935441, 0.39041027, 0.40805918, 0.64136416, 0.51935184, -0.08592196, -0.023558043, 0.02827549
95, 469952108, 0.3904995, 0.40817174, 0.64130604, 0.51926816, -0.09456252, 0.009581554, 0.03507042
96, 469968775, 0.3905244, 0.4081626, 0.64130145, 0.51926225, -0.14095196, -0.020275531, 0.027114868
97, 469985442, 0.39067113, 0.40826482, 0.6411902, 0.51920897, -0.10390268, -0.0544748, 0.027441978
98, 470002109, 0.3907793, 0.4083119, 0.6411119, 0.5191871, -0.0807787, -0.03009166, 0.028166771
99, 470018776, 0.3909829, 0.40849623, 0.6409499, 0.519089, -0.04587648, 0.016520513, 0.053990364
100, 470035443, 0.39114538, 0.40862677, 0.6408207, 0.51902336, -0.01894697, 0.04269645, 0.059951782
101, 470052110, 0.391262, 0.40873218, 0.6407137, 0.51898456, 0.011790755, 0.03821345, 0.028867722
102, 470068777, 0.39132884, 0.40882325, 0.6406401, 0.5189531, -0.06139789, 0.039581127, -0.006822586
103, 470085444, 0.3914324, 0.40896595, 0.64054215, 0.51888347, -0.04980919, 0.018578509, -0.0033054352
104, 470102111, 0.39152163, 0.40907967, 0.64046115, 0.5188265, -0.086641, 0.022391528, 0.011671066
105, 470118778, 0.39162812, 0.40920883, 0.6403616, 0.5187672, -0.033762526, 0.0429916, 0.013754845
106, 470135445, 0.39171988, 0.40935314, 0.6402755, 0.5186904, -0.017261906, 0.052868415, 0.02029705
107, 470152112, 0.39178953, 0.4094877, 0.6402112, 0.5186108, -0.036904, 0.056684338, 0.01861
108, 470168779, 0.3917939, 0.4095523, 0.64020157, 0.5185684, -0.051176198, 0.039770555, 0.020633698
109, 470185446, 0.39169702, 0.40948603, 0.6402782, 0.5185994, -0.07983637, 0.0125506995, 0.016945839
110, 470202113, 0.391691, 0.40951377, 0.6402914, 0.51856583, -0.06494281, 0.013774545, 0.0139865875
111, 470218780, 0.39160082, 0.40948844, 0.64035606, 0.51857394, -0.06797476, 0.024359895, -0.0082502365
112, 470235447, 0.39155954, 0.40950805, 0.6404031, 0.51853156, -0.043408226, 0.035285097, 0.005970001
113, 470252114, 0.391461, 0.40947196, 0.6404814, 0.5185379, -0.05957939, 0.041669074, 0.0031023026
114, 470268781, 0.39133132, 0.40942657, 0.6405676, 0.5185649, -0.07350559, 0.0128144445, 0.021582603
115, 470285448, 0.39120772, 0.40939602, 0.6406546, 0.5185748, -0.051435247, 2.7905594E-4, 0.036198616
116, 470302115, 0.3910863, 0.4093575, 0.6407414, 0.51858974, -0.08472795, -0.027693925, 0.06771469
117, 470318782, 0.39101696, 0.40935862, 0.64078563, 0.51858646, -0.09793936, -0.008027133, 0.06076622
118, 470335449, 0.3909553, 0.40934953, 0.6408256, 0.51859057, -0.12978995, -0.006948459, 0.027505875
119, 470352116, 0.39088845, 0.40928024, 0.64086014, 0.5186529, -0.121034056, -9.3663106E-4, 0.031069756
120, 470368783, 0.39089394, 0.4092674, 0.6408394, 0.5186847, -0.11057097, 0.010486781, 0.03246498
121, 470385450, 0.39102656, 0.4093768, 0.64071965, 0.51864636, -0.08243247, 0.010870217, 0.026202202
122, 470402117, 0.39105967, 0.40934113, 0.6406796, 0.51869905, -0.07737728, -0.014298236, 0.052289963
123, 470418784, 0.39114082, 0.40934515, 0.6405995, 0.51873344, -0.08606925, -0.013837016, 0.042655945
124, 470435451, 0.39124358, 0.40937725, 0.6405038, 0.518749, -0.047471248, 0.016027108, 0.014958382
125, 470452118, 0.3913363, 0.40940732, 0.6404166, 0.5187628, -0.05216971, 0.065031655, -0.007288933
126, 470468785, 0.39137897, 0.40938222, 0.64037824, 0.5187978, 0.0013354899, 0.060071006, 0.015481949
127, 470485452, 0.39135033, 0.40932336, 0.64039916, 0.5188402, -0.007919958, 0.062730365, -0.00617218
128, 470502119, 0.39128795, 0.4092558, 0.6404444, 0.5188849, -0.030474203, 0.056710377, -1.2207031E-4
129, 470518786, 0.39122856, 0.4092207, 0.6404931, 0.51889694, -0.043623023, 0.02321685, 0.0051651
130, 470535453, 0.39120513, 0.4092107, 0.6405244, 0.5188838, -0.09018837, -0.025830833, 0.038614273
131, 470552120, 0.3912239, 0.40926322, 0.64051557, 0.51883924, -0.078502, -0.001402879, 5.4073334E-4
132, 470568787, 0.39120564, 0.4092627, 0.6405345, 0.5188302, -0.09125877, 0.034251235, 0.0069274902
133, 470585454, 0.39112777, 0.4092012, 0.64058274, 0.5188777, -0.10410384, 0.018416574, -0.008111954
134, 470602121, 0.39107266, 0.4091625, 0.6406031, 0.51892483, -0.07985291, -0.014358807, -0.02124405
